CASNumber,HazardCode
133413-70-4, H319, Eye Irrit. 2
133413-70-4, H413, Aquatic Chronic 4
211387-26-7, H413, Aquatic Chronic 4
141645-23-0, H226, Flam. Liq. 3
141645-23-0, H302, Acute Tox. 4
141645-23-0, H373, STOT RE 2
141645-23-0, H315, Skin Irrit. 2
141645-23-0, H318, Eye Dam. 1
141645-23-0, H317, Skin Sens. 1
141645-23-0, H400, Aquatic Acute 1
141645-23-0, H410, Aquatic Chronic 1
124379-29-9, H413, Aquatic Chronic 4
474510-57-1, H373, STOT RE 2
474510-57-1, H400, Aquatic Acute 1
474510-57-1, H410, Aquatic Chronic 1
71751-41-2, H361d, Repr. 2
71751-41-2, H330, Acute Tox. 1
71751-41-2, H300, Acute Tox. 2
71751-41-2, H372, STOT RE 1
71751-41-2, H400, Aquatic Acute 1
71751-41-2, H410, Aquatic Chronic 1
65195-55-3, H361d, Repr. 2
65195-55-3, H330, Acute Tox. 1
65195-55-3, H300, Acute Tox. 2
65195-55-3, H372, STOT RE 1
65195-55-3, H400, Aquatic Acute 1
65195-55-3, H410, Aquatic Chronic 1
57960-19-7, H370, STOT SE 1
57960-19-7, H373, STOT RE 2
57960-19-7, H317, Skin Sens. 1
57960-19-7, H400, Aquatic Acute 1
57960-19-7, H410, Aquatic Chronic 1
99105-77-8, H361d, Repr. 2
99105-77-8, H373, STOT RE 2
99105-77-8, H317, Skin Sens. 1A
99105-77-8, H400, Aquatic Acute 1
99105-77-8, H410, Aquatic Chronic 1
87820-88-0, H351, Carc. 2
87820-88-0, H302, Acute Tox. 4
87820-88-0, H411, Aquatic Chronic 2
101205-02-1, H361d, Repr. 2
99-49-0, H317, Skin Sens. 1
2244-16-8, H317, Skin Sens. 1
6485-40-1, H317, Skin Sens. 1
335104-84-2, H361d, Repr. 2
335104-84-2, H373, STOT RE 2
335104-84-2, H317, Skin Sens. 1
335104-84-2, H400, Aquatic Acute 1
335104-84-2, H410, Aquatic Chronic 1
99129-21-2, H302, Acute Tox. 4
99129-21-2, H317, Skin Sens. 1
99129-21-2, H412, Aquatic Chronic 3
84-65-1, H350, Carc. 1B
64-18-6, H314, Skin Corr. 1A
64-19-7, H226, Flam. Liq. 3
64-19-7, H314, Skin Corr. 1A
79-11-8, H331, Acute Tox. 3
79-11-8, H311, Acute Tox. 3
79-11-8, H301, Acute Tox. 3
79-11-8, H314, Skin Corr. 1B
79-11-8, H400, Aquatic Acute 1
76-03-9, H314, Skin Corr. 1A
76-03-9, H400, Aquatic Acute 1
76-03-9, H410, Aquatic Chronic 1
650-51-1, H335, STOT SE 3
650-51-1, H400, Aquatic Acute 1
650-51-1, H410, Aquatic Chronic 1
144-62-7, H312, Acute Tox. 4
144-62-7, H302, Acute Tox. 4
108-24-7, H226, Flam. Liq. 3
108-24-7, H332, Acute Tox. 4
108-24-7, H302, Acute Tox. 4
108-24-7, H314, Skin Corr. 1B
85-44-9, H302, Acute Tox. 4
85-44-9, H335, STOT SE 3
85-44-9, H315, Skin Irrit. 2
85-44-9, H318, Eye Dam. 1
85-44-9, H334, Resp. Sens. 1
85-44-9, H317, Skin Sens. 1
123-62-6, H314, Skin Corr. 1B
75-36-5, H225, Flam. Liq. 2
75-36-5, H314, Skin Corr. 1B
98-88-4, H332, Acute Tox. 4
98-88-4, H312, Acute Tox. 4
98-88-4, H302, Acute Tox. 4
98-88-4, H314, Skin Corr. 1B
98-88-4, H317, Skin Sens. 1
616-38-6, H225, Flam. Liq. 2
107-31-3, H224, Flam. Liq. 1
107-31-3, H332, Acute Tox. 4
107-31-3, H302, Acute Tox. 4
107-31-3, H335, STOT SE 3
107-31-3, H319, Eye Irrit. 2
109-94-4, H225, Flam. Liq. 2
109-94-4, H332, Acute Tox. 4
109-94-4, H302, Acute Tox. 4
109-94-4, H335, STOT SE 3
109-94-4, H319, Eye Irrit. 2
110-74-7, H225, Flam. Liq. 2
110-74-7, H335, STOT SE 3
110-74-7, H336, STOT SE 3
110-74-7, H319, Eye Irrit. 2
625-55-8, H225, Flam. Liq. 2
625-55-8, H335, STOT SE 3
625-55-8, H336, STOT SE 3
625-55-8, H319, Eye Irrit. 2
592-84-7, H225, Flam. Liq. 2
592-84-7, H335, STOT SE 3
592-84-7, H319, Eye Irrit. 2
762-75-4, H225, Flam. Liq. 2
762-75-4, H335, STOT SE 3
762-75-4, H319, Eye Irrit. 2
542-55-2, H225, Flam. Liq. 2
542-55-2, H335, STOT SE 3
542-55-2, H319, Eye Irrit. 2
110-45-2, H225, Flam. Liq. 2
110-45-2, H335, STOT SE 3
110-45-2, H319, Eye Irrit. 2
35073-27-9, H225, Flam. Liq. 2
35073-27-9, H335, STOT SE 3
35073-27-9, H319, Eye Irrit. 2
79-22-1, H225, Flam. Liq. 2
79-22-1, H330, Acute Tox. 2
79-22-1, H312, Acute Tox. 4
79-22-1, H302, Acute Tox. 4
79-22-1, H314, Skin Corr. 1B
541-41-3, H225, Flam. Liq. 2
541-41-3, H330, Acute Tox. 2
541-41-3, H302, Acute Tox. 4
541-41-3, H314, Skin Corr. 1B
79-20-9, H225, Flam. Liq. 2
79-20-9, H336, STOT SE 3
79-20-9, H319, Eye Irrit. 2
141-78-6, H225, Flam. Liq. 2
141-78-6, H336, STOT SE 3
141-78-6, H319, Eye Irrit. 2
108-05-4, H225, Flam. Liq. 2
108-05-4, H351, Carc. 2
108-05-4, H332, Acute Tox. 4
108-05-4, H335, STOT SE 3
109-60-4, H225, Flam. Liq. 2
109-60-4, H336, STOT SE 3
109-60-4, H319, Eye Irrit. 2
108-21-4, H225, Flam. Liq. 2
108-21-4, H336, STOT SE 3
108-21-4, H319, Eye Irrit. 2
123-86-4, H226, Flam. Liq. 3
123-86-4, H336, STOT SE 3
105-46-4, H225, Flam. Liq. 2
110-19-0, H225, Flam. Liq. 2
540-88-5, H225, Flam. Liq. 2
554-12-1, H225, Flam. Liq. 2
554-12-1, H332, Acute Tox. 4
105-37-3, H225, Flam. Liq. 2
590-01-2, H226, Flam. Liq. 3
591-34-4, H226, Flam. Liq. 3
540-42-1, H226, Flam. Liq. 3
106-36-5, H226, Flam. Liq. 3
106-36-5, H332, Acute Tox. 4
109-21-7, H226, Flam. Liq. 3
140-88-5, H225, Flam. Liq. 2
140-88-5, H332, Acute Tox. 4
140-88-5, H312, Acute Tox. 4
140-88-5, H302, Acute Tox. 4
140-88-5, H335, STOT SE 3
140-88-5, H315, Skin Irrit. 2
140-88-5, H319, Eye Irrit. 2
140-88-5, H317, Skin Sens. 1
97-88-1, H226, Flam. Liq. 3
97-88-1, H335, STOT SE 3
97-88-1, H315, Skin Irrit. 2
97-88-1, H319, Eye Irrit. 2
97-88-1, H317, Skin Sens. 1
96-33-3, H225, Flam. Liq. 2
96-33-3, H332, Acute Tox. 4
96-33-3, H312, Acute Tox. 4
96-33-3, H302, Acute Tox. 4
96-33-3, H335, STOT SE 3
96-33-3, H315, Skin Irrit. 2
96-33-3, H319, Eye Irrit. 2
96-33-3, H317, Skin Sens. 1
80-62-6, H225, Flam. Liq. 2
80-62-6, H335, STOT SE 3
80-62-6, H315, Skin Irrit. 2
80-62-6, H317, Skin Sens. 1
110-49-6, H360FD, Repr. 1B
110-49-6, H332, Acute Tox. 4
110-49-6, H312, Acute Tox. 4
110-49-6, H302, Acute Tox. 4
111-15-9, H226, Flam. Liq. 3
111-15-9, H360FD, Repr. 1B
111-15-9, H332, Acute Tox. 4
111-15-9, H312, Acute Tox. 4
111-15-9, H302, Acute Tox. 4
112-07-2, H332, Acute Tox. 4
112-07-2, H312, Acute Tox. 4
94-75-7, H302, Acute Tox. 4
94-75-7, H335, STOT SE 3
94-75-7, H318, Eye Dam. 1
94-75-7, H317, Skin Sens. 1
94-75-7, H412, Aquatic Chronic 3
93-76-5, H302, Acute Tox. 4
93-76-5, H335, STOT SE 3
93-76-5, H315, Skin Irrit. 2
93-76-5, H319, Eye Irrit. 2
93-76-5, H400, Aquatic Acute 1
93-76-5, H410, Aquatic Chronic 1
1918-00-9, H302, Acute Tox. 4
1918-00-9, H318, Eye Dam. 1
1918-00-9, H412, Aquatic Chronic 3
2300-66-5, H319, Eye Irrit. 2
2300-66-5, H412, Aquatic Chronic 3
10007-85-9, H319, Eye Irrit. 2
10007-85-9, H412, Aquatic Chronic 3
120-36-5, H312, Acute Tox. 4
120-36-5, H302, Acute Tox. 4
120-36-5, H315, Skin Irrit. 2
120-36-5, H318, Eye Dam. 1
93-72-1, H302, Acute Tox. 4
93-72-1, H315, Skin Irrit. 2
93-72-1, H400, Aquatic Acute 1
93-72-1, H410, Aquatic Chronic 1
7085-19-0, H302, Acute Tox. 4
7085-19-0, H315, Skin Irrit. 2
7085-19-0, H318, Eye Dam. 1
7085-19-0, H400, Aquatic Acute 1
7085-19-0, H410, Aquatic Chronic 1
94-74-6, H302, Acute Tox. 4
94-74-6, H315, Skin Irrit. 2
94-74-6, H318, Eye Dam. 1
94-74-6, H400, Aquatic Acute 1
94-74-6, H410, Aquatic Chronic 1
94-81-5, H400, Aquatic Acute 1
94-81-5, H410, Aquatic Chronic 1
129-67-9, H301, Acute Tox. 3
129-67-9, H312, Acute Tox. 4
129-67-9, H335, STOT SE 3
129-67-9, H315, Skin Irrit. 2
129-67-9, H319, Eye Irrit. 2
81-81-2, H360D, Repr. 1A
81-81-2, H330, Acute Tox. 1
81-81-2, H310, Acute Tox. 1
81-81-2, H300, Acute Tox. 2
81-81-2, H372, STOT RE 1
81-81-2, H411, Aquatic Chronic 2
5543-57-7, H360D, Repr. 1A
5543-57-7, H330, Acute Tox. 1
5543-57-7, H310, Acute Tox. 1
5543-57-7, H300, Acute Tox. 2
5543-57-7, H372, STOT RE 1
5543-57-7, H411, Aquatic Chronic 2
5543-58-8, H360D, Repr. 1A
5543-58-8, H330, Acute Tox. 1
5543-58-8, H310, Acute Tox. 1
5543-58-8, H300, Acute Tox. 2
5543-58-8, H372, STOT RE 1
5543-58-8, H411, Aquatic Chronic 2
81-82-3, H373, STOT RE 2
81-82-3, H412, Aquatic Chronic 3
117-52-2, H301, Acute Tox. 3
117-52-2, H372, STOT RE 1
117-52-2, H412, Aquatic Chronic 3
5836-29-3, H360D, Repr. 1B
5836-29-3, H330, Acute Tox. 2
5836-29-3, H300, Acute Tox. 2
5836-29-3, H311, Acute Tox. 3
5836-29-3, H372, STOT RE 1
5836-29-3, H410, Aquatic Chronic 1
66-76-2, H302, Acute Tox. 4
66-76-2, H372, STOT RE 1
66-76-2, H411, Aquatic Chronic 2
79-10-7, H226, Flam. Liq. 3
79-10-7, H332, Acute Tox. 4
79-10-7, H312, Acute Tox. 4
79-10-7, H302, Acute Tox. 4
79-10-7, H314, Skin Corr. 1A
79-10-7, H400, Aquatic Acute 1
141-32-2, H226, Flam. Liq. 3
141-32-2, H335, STOT SE 3
141-32-2, H315, Skin Irrit. 2
141-32-2, H319, Eye Irrit. 2
141-32-2, H317, Skin Sens. 1
79-31-2, H312, Acute Tox. 4
79-31-2, H302, Acute Tox. 4
501-53-1, H314, Skin Corr. 1B
501-53-1, H400, Aquatic Acute 1
501-53-1, H410, Aquatic Chronic 1
79-08-3, H331, Acute Tox. 3
79-08-3, H311, Acute Tox. 3
79-08-3, H301, Acute Tox. 3
79-08-3, H314, Skin Corr. 1A
79-08-3, H317, Skin Sens. 1
79-08-3, H400, Aquatic Acute 1
79-43-6, H314, Skin Corr. 1A
79-43-6, H400, Aquatic Acute 1
79-36-7, H314, Skin Corr. 1A
79-36-7, H400, Aquatic Acute 1
64-69-7, H301, Acute Tox. 3
64-69-7, H314, Skin Corr. 1A
105-36-2, H310, Acute Tox. 1
105-36-2, H330, Acute Tox. 2
105-36-2, H300, Acute Tox. 2
105-39-5, H331, Acute Tox. 3
105-39-5, H311, Acute Tox. 3
105-39-5, H301, Acute Tox. 3
105-39-5, H400, Aquatic Acute 1
97-63-2, H225, Flam. Liq. 2
97-63-2, H335, STOT SE 3
97-63-2, H315, Skin Irrit. 2
97-63-2, H319, Eye Irrit. 2
97-63-2, H317, Skin Sens. 1
818-61-1, H311, Acute Tox. 3
818-61-1, H314, Skin Corr. 1B
818-61-1, H317, Skin Sens. 1
818-61-1, H400, Aquatic Acute 1
122-88-3, H302, Acute Tox. 4
85-34-7, H302, Acute Tox. 4
85-34-7, H411, Aquatic Chronic 2
14437-17-3, H312, Acute Tox. 4
14437-17-3, H302, Acute Tox. 4
14437-17-3, H400, Aquatic Acute 1
14437-17-3, H410, Aquatic Chronic 1
2439-10-3, H302, Acute Tox. 4
2439-10-3, H315, Skin Irrit. 2
2439-10-3, H319, Eye Irrit. 2
2439-10-3, H400, Aquatic Acute 1
2439-10-3, H410, Aquatic Chronic 1
136-25-4, H302, Acute Tox. 4
136-25-4, H411, Aquatic Chronic 2
4301-50-2, H310, Acute Tox. 1
4301-50-2, H300, Acute Tox. 2
4234-79-1, H311, Acute Tox. 3
4234-79-1, H302, Acute Tox. 4
4234-79-1, H411, Aquatic Chronic 2
79-04-9, H331, Acute Tox. 3
79-04-9, H311, Acute Tox. 3
79-04-9, H301, Acute Tox. 3
79-04-9, H372, STOT RE 1
79-04-9, H314, Skin Corr. 1A
79-04-9, H400, Aquatic Acute 1
144-49-0, H300, Acute Tox. 2
144-49-0, H400, Aquatic Acute 1
94-82-6, H302, Acute Tox. 4
94-82-6, H411, Aquatic Chronic 2
120-51-4, H302, Acute Tox. 4
120-51-4, H411, Aquatic Chronic 2
131-17-9, H302, Acute Tox. 4
131-17-9, H400, Aquatic Acute 1
131-17-9, H410, Aquatic Chronic 1
79-41-4, H312, Acute Tox. 4
79-41-4, H302, Acute Tox. 4
79-41-4, H314, Skin Corr. 1A
79-09-4, H314, Skin Corr. 1B
68-11-1, H331, Acute Tox. 3
68-11-1, H311, Acute Tox. 3
68-11-1, H301, Acute Tox. 3
68-11-1, H314, Skin Corr. 1B
76-05-1, H332, Acute Tox. 4
76-05-1, H314, Skin Corr. 1A
76-05-1, H412, Aquatic Chronic 3
547-64-8, H226, Flam. Liq. 3
547-64-8, H335, STOT SE 3
547-64-8, H319, Eye Irrit. 2
2155-30-8, H226, Flam. Liq. 3
2155-30-8, H335, STOT SE 3
2155-30-8, H319, Eye Irrit. 2
17392-83-5, H226, Flam. Liq. 3
17392-83-5, H335, STOT SE 3
17392-83-5, H319, Eye Irrit. 2
27871-49-4, H226, Flam. Liq. 3
27871-49-4, H335, STOT SE 3
27871-49-4, H319, Eye Irrit. 2
79-03-8, H225, Flam. Liq. 2
79-03-8, H314, Skin Corr. 1B
79-21-0, H226, Flam. Liq. 3
79-21-0, H242, Org. Perox. D
79-21-0, H332, Acute Tox. 4
79-21-0, H312, Acute Tox. 4
79-21-0, H302, Acute Tox. 4
79-21-0, H314, Skin Corr. 1A
79-21-0, H400, Aquatic Acute 1
110-16-7, H302, Acute Tox. 4
110-16-7, H335, STOT SE 3
110-16-7, H315, Skin Irrit. 2
110-16-7, H319, Eye Irrit. 2
110-16-7, H317, Skin Sens. 1
108-31-6, H302, Acute Tox. 4
108-31-6, H372, STOT RE 1
108-31-6, H314, Skin Corr. 1B
108-31-6, H318, Eye Dam. 1
108-31-6, H334, Resp. Sens. 1
108-31-6, H317, Skin Sens. 1A
552-30-7, H335, STOT SE 3
552-30-7, H318, Eye Dam. 1
552-30-7, H334, Resp. Sens. 1
552-30-7, H317, Skin Sens. 1
89-32-7, H318, Eye Dam. 1
89-32-7, H334, Resp. Sens. 1
89-32-7, H317, Skin Sens. 1
85-43-8, H318, Eye Dam. 1
85-43-8, H334, Resp. Sens. 1
85-43-8, H317, Skin Sens. 1
85-43-8, H412, Aquatic Chronic 3
935-79-5, H318, Eye Dam. 1
935-79-5, H334, Resp. Sens. 1
935-79-5, H317, Skin Sens. 1
935-79-5, H412, Aquatic Chronic 3
2426-02-0, H318, Eye Dam. 1
2426-02-0, H334, Resp. Sens. 1
2426-02-0, H317, Skin Sens. 1
2426-02-0, H412, Aquatic Chronic 3
26266-63-7, H318, Eye Dam. 1
26266-63-7, H334, Resp. Sens. 1
26266-63-7, H317, Skin Sens. 1
26266-63-7, H412, Aquatic Chronic 3
2421-28-5, H335, STOT SE 3
2421-28-5, H319, Eye Irrit. 2
115-27-5, H335, STOT SE 3
115-27-5, H315, Skin Irrit. 2
115-27-5, H319, Eye Irrit. 2
85-42-7, H318, Eye Dam. 1
85-42-7, H334, Resp. Sens. 1
85-42-7, H317, Skin Sens. 1
13149-00-3, H318, Eye Dam. 1
13149-00-3, H334, Resp. Sens. 1
13149-00-3, H317, Skin Sens. 1
14166-21-3, H318, Eye Dam. 1
14166-21-3, H334, Resp. Sens. 1
14166-21-3, H317, Skin Sens. 1
108-30-5, H302, Acute Tox. 4
108-30-5, H314, Skin Corr. 1
108-30-5, H318, Eye Dam. 1
108-30-5, H334, Resp. Sens. 1
108-30-5, H317, Skin Sens. 1
6053-68-5, H335, STOT SE 3
6053-68-5, H319, Eye Irrit. 2
129-64-6, H318, Eye Dam. 1
129-64-6, H334, Resp. Sens. 1
129-64-6, H317, Skin Sens. 1
826-62-0, H318, Eye Dam. 1
826-62-0, H334, Resp. Sens. 1
826-62-0, H317, Skin Sens. 1
2746-19-2, H318, Eye Dam. 1
2746-19-2, H334, Resp. Sens. 1
2746-19-2, H317, Skin Sens. 1
123748-85-6, H302, Acute Tox. 4
123748-85-6, H335, STOT SE 3
123748-85-6, H315, Skin Irrit. 2
123748-85-6, H319, Eye Irrit. 2
123748-85-6, H334, Resp. Sens. 1
103-11-7, H335, STOT SE 3
103-11-7, H315, Skin Irrit. 2
103-11-7, H317, Skin Sens. 1
2918-23-2, H331, Acute Tox. 3
2918-23-2, H311, Acute Tox. 3
2918-23-2, H301, Acute Tox. 3
2918-23-2, H314, Skin Corr. 1B
2918-23-2, H317, Skin Sens. 1
999-61-1, H331, Acute Tox. 3
999-61-1, H311, Acute Tox. 3
999-61-1, H301, Acute Tox. 3
999-61-1, H314, Skin Corr. 1B
999-61-1, H317, Skin Sens. 1
25584-83-2, H331, Acute Tox. 3
25584-83-2, H311, Acute Tox. 3
25584-83-2, H301, Acute Tox. 3
25584-83-2, H314, Skin Corr. 1B
25584-83-2, H317, Skin Sens. 1
13048-33-4, H315, Skin Irrit. 2
13048-33-4, H319, Eye Irrit. 2
13048-33-4, H317, Skin Sens. 1
3524-68-3, H315, Skin Irrit. 2
3524-68-3, H319, Eye Irrit. 2
3524-68-3, H317, Skin Sens. 1
15625-89-5, H315, Skin Irrit. 2
15625-89-5, H319, Eye Irrit. 2
15625-89-5, H317, Skin Sens. 1
2223-82-7, H311, Acute Tox. 3
2223-82-7, H315, Skin Irrit. 2
2223-82-7, H319, Eye Irrit. 2
2223-82-7, H317, Skin Sens. 1
97-86-9, H226, Flam. Liq. 3
97-86-9, H335, STOT SE 3
97-86-9, H315, Skin Irrit. 2
97-86-9, H317, Skin Sens. 1B
97-90-5, H335, STOT SE 3
97-90-5, H317, Skin Sens. 1
106-63-8, H226, Flam. Liq. 3
106-63-8, H332, Acute Tox. 4
106-63-8, H312, Acute Tox. 4
106-63-8, H315, Skin Irrit. 2
106-63-8, H317, Skin Sens. 1
3066-71-5, H335, STOT SE 3
3066-71-5, H315, Skin Irrit. 2
3066-71-5, H411, Aquatic Chronic 2
106-90-1, H331, Acute Tox. 3
106-90-1, H311, Acute Tox. 3
106-90-1, H301, Acute Tox. 3
106-90-1, H314, Skin Corr. 1B
106-90-1, H317, Skin Sens. 1
19485-03-1, H312, Acute Tox. 4
19485-03-1, H314, Skin Corr. 1B
19485-03-1, H317, Skin Sens. 1
1070-70-8, H312, Acute Tox. 4
1070-70-8, H314, Skin Corr. 1B
1070-70-8, H317, Skin Sens. 1
4074-88-8, H311, Acute Tox. 3
4074-88-8, H315, Skin Irrit. 2
4074-88-8, H319, Eye Irrit. 2
4074-88-8, H317, Skin Sens. 1
10027-06-2, H312, Acute Tox. 4
10027-06-2, H315, Skin Irrit. 2
10027-06-2, H317, Skin Sens. 1
4986-89-4, H315, Skin Irrit. 2
4986-89-4, H319, Eye Irrit. 2
4986-89-4, H317, Skin Sens. 1
106-91-2, H350, Carc. 1B
106-91-2, H341, Muta. 2
106-91-2, H360F, Repr. 1B
106-91-2, H311, Acute Tox. 3
106-91-2, H302, Acute Tox. 4
106-91-2, H335, STOT SE 3
106-91-2, H372, STOT RE 1
106-91-2, H314, Skin Corr. 1C
106-91-2, H318, Eye Dam. 1
106-91-2, H317, Skin Sens. 1
868-77-9, H315, Skin Irrit. 2
868-77-9, H319, Eye Irrit. 2
868-77-9, H317, Skin Sens. 1
923-26-2, H319, Eye Irrit. 2
923-26-2, H317, Skin Sens. 1
2761-09-3, H319, Eye Irrit. 2
2761-09-3, H317, Skin Sens. 1
1680-21-3, H315, Skin Irrit. 2
1680-21-3, H319, Eye Irrit. 2
1680-21-3, H317, Skin Sens. 1
105-16-8, H332, Acute Tox. 4
105-16-8, H315, Skin Irrit. 2
105-16-8, H319, Eye Irrit. 2
105-16-8, H317, Skin Sens. 1
3775-90-4, H315, Skin Irrit. 2
3775-90-4, H319, Eye Irrit. 2
3775-90-4, H317, Skin Sens. 1
97-64-3, H226, Flam. Liq. 3
97-64-3, H335, STOT SE 3
97-64-3, H318, Eye Dam. 1
687-47-8, H226, Flam. Liq. 3
687-47-8, H335, STOT SE 3
687-47-8, H318, Eye Dam. 1
628-63-7, H226, Flam. Liq. 3
123-92-2, H226, Flam. Liq. 3
626-38-0, H226, Flam. Liq. 3
624-41-9, H226, Flam. Liq. 3
84145-37-9, H226, Flam. Liq. 3
105-68-0, H226, Flam. Liq. 3
624-54-4, H226, Flam. Liq. 3
2438-20-2, H226, Flam. Liq. 3
2867-47-2, H312, Acute Tox. 4
2867-47-2, H302, Acute Tox. 4
2867-47-2, H315, Skin Irrit. 2
2867-47-2, H319, Eye Irrit. 2
2867-47-2, H317, Skin Sens. 1
107-92-6, H314, Skin Corr. 1B
141-75-3, H225, Flam. Liq. 2
141-75-3, H314, Skin Corr. 1B
105-45-3, H319, Eye Irrit. 2
592-34-7, H226, Flam. Liq. 3
592-34-7, H331, Acute Tox. 3
592-34-7, H314, Skin Corr. 1B
598-78-7, H302, Acute Tox. 4
598-78-7, H314, Skin Corr. 1A
79-30-1, H225, Flam. Liq. 2
79-30-1, H314, Skin Corr. 1A
106-75-2, H302, Acute Tox. 4
106-75-2, H315, Skin Irrit. 2
106-75-2, H318, Eye Dam. 1
106-75-2, H411, Aquatic Chronic 2
109-61-5, H225, Flam. Liq. 2
109-61-5, H331, Acute Tox. 3
109-61-5, H314, Skin Corr. 1B
109-52-4, H314, Skin Corr. 1B
109-52-4, H412, Aquatic Chronic 3
124-04-9, H319, Eye Irrit. 2
75-75-2, H314, Skin Corr. 1B
110-17-8, H319, Eye Irrit. 2
95-92-1, H302, Acute Tox. 4
95-92-1, H319, Eye Irrit. 2
50-01-1, H302, Acute Tox. 4
50-01-1, H315, Skin Irrit. 2
50-01-1, H319, Eye Irrit. 2
51-79-6, H350, Carc. 1B
145-73-3, H301, Acute Tox. 3
145-73-3, H312, Acute Tox. 4
145-73-3, H335, STOT SE 3
145-73-3, H315, Skin Irrit. 2
145-73-3, H319, Eye Irrit. 2
2312-35-8, H351, Carc. 2
2312-35-8, H331, Acute Tox. 3
2312-35-8, H315, Skin Irrit. 2
2312-35-8, H318, Eye Dam. 1
2312-35-8, H400, Aquatic Acute 1
2312-35-8, H410, Aquatic Chronic 1
50-31-7, H302, Acute Tox. 4
50-31-7, H411, Aquatic Chronic 2
3813-05-6, H315, Skin Irrit. 2
3813-05-6, H319, Eye Irrit. 2
3813-05-6, H412, Aquatic Chronic 3
22212-55-1, H302, Acute Tox. 4
22212-55-1, H400, Aquatic Acute 1
22212-55-1, H410, Aquatic Chronic 1
2079-00-7, H300, Acute Tox. 2
80-33-1, H302, Acute Tox. 4
80-33-1, H315, Skin Irrit. 2
80-33-1, H400, Aquatic Acute 1
80-33-1, H410, Aquatic Chronic 1
56073-07-5, H360D, Repr. 1B
56073-07-5, H330, Acute Tox. 1
56073-07-5, H310, Acute Tox. 1
56073-07-5, H300, Acute Tox. 1
56073-07-5, H372, STOT RE 1
56073-07-5, H400, Aquatic Acute 1
56073-07-5, H410, Aquatic Chronic 1
3926-62-3, H301, Acute Tox. 3
3926-62-3, H315, Skin Irrit. 2
3926-62-3, H400, Aquatic Acute 1
510-15-6, H302, Acute Tox. 4
510-15-6, H400, Aquatic Acute 1
510-15-6, H410, Aquatic Chronic 1
51337-71-4, H302, Acute Tox. 4
75-99-0, H315, Skin Irrit. 2
75-99-0, H318, Eye Dam. 1
75-99-0, H412, Aquatic Chronic 3
127-20-8, H315, Skin Irrit. 2
127-20-8, H318, Eye Dam. 1
127-20-8, H412, Aquatic Chronic 3
520-45-6, H302, Acute Tox. 4
4418-26-2, H302, Acute Tox. 4
51338-27-3, H302, Acute Tox. 4
51338-27-3, H317, Skin Sens. 1
51338-27-3, H400, Aquatic Acute 1
51338-27-3, H410, Aquatic Chronic 1
2487-01-6, H301, Acute Tox. 3
2487-01-6, H312, Acute Tox. 4
4312-97-4, H312, Acute Tox. 4
4312-97-4, H302, Acute Tox. 4
83-59-0, H311, Acute Tox. 3
83-59-0, H302, Acute Tox. 4
83-59-0, H400, Aquatic Acute 1
83-59-0, H410, Aquatic Chronic 1
62-74-8, H310, Acute Tox. 1
62-74-8, H330, Acute Tox. 2
62-74-8, H300, Acute Tox. 2
62-74-8, H400, Aquatic Acute 1
31895-22-4, H312, Acute Tox. 4
31895-22-4, H302, Acute Tox. 4
31895-22-4, H400, Aquatic Acute 1
31895-22-4, H410, Aquatic Chronic 1
56073-10-0, H360D, Repr. 1A
56073-10-0, H330, Acute Tox. 1
56073-10-0, H310, Acute Tox. 1
56073-10-0, H300, Acute Tox. 1
56073-10-0, H372, STOT RE 1
56073-10-0, H400, Aquatic Acute 1
56073-10-0, H410, Aquatic Chronic 1
39562-27-1, H317, Skin Sens. 1
39562-27-1, H411, Aquatic Chronic 2
101200-48-0, H317, Skin Sens. 1
101200-48-0, H400, Aquatic Acute 1
101200-48-0, H410, Aquatic Chronic 1
83055-99-6, H317, Skin Sens. 1
83055-99-6, H411, Aquatic Chronic 2
95154-01-1, H317, Skin Sens. 1
96566-70-0, H302, Acute Tox. 4
96566-70-0, H335, STOT SE 3
96566-70-0, H319, Eye Irrit. 2
96566-70-0, H412, Aquatic Chronic 3
101513-70-6, H331, Acute Tox. 3
101513-70-6, H302, Acute Tox. 4
101513-70-6, H314, Skin Corr. 1B
101513-70-6, H317, Skin Sens. 1
101513-70-6, H412, Aquatic Chronic 3
85702-90-5, H226, Flam. Liq. 3
85702-90-5, H334, Resp. Sens. 1
85702-90-5, H317, Skin Sens. 1
1117-37-9, H317, Skin Sens. 1
84087-01-4, H317, Skin Sens. 1
62782-03-0, H319, Eye Irrit. 2
62782-03-0, H412, Aquatic Chronic 3
1939-36-2, H302, Acute Tox. 4
1939-36-2, H318, Eye Dam. 1
77402-03-0, H350, Carc. 1B
77402-03-0, H340, Muta. 1B
77402-03-0, H302, Acute Tox. 4
77402-03-0, H319, Eye Irrit. 2
100181-71-3, H315, Skin Irrit. 2
100181-71-3, H317, Skin Sens. 1
100181-71-3, H400, Aquatic Acute 1
100181-71-3, H410, Aquatic Chronic 1
92511-22-3, H318, Eye Dam. 1
108-32-7, H319, Eye Irrit. 2
108-65-6, H226, Flam. Liq. 3
111-14-8, H314, Skin Corr. 1B
112-05-0, H315, Skin Irrit. 2
112-05-0, H319, Eye Irrit. 2
112-05-0, H412, Aquatic Chronic 3
121-79-9, H302, Acute Tox. 4
121-79-9, H317, Skin Sens. 1
1034-01-1, H302, Acute Tox. 4
1034-01-1, H317, Skin Sens. 1
